Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
1,Ray Allen*,SG,24,MIL,5,186,22.7,.552,.289,.244,6.5,13.3,10.1,12.2,2.3,0.0,8.3,26.9,,0.5,0.2,0.7,.183,,6.0,-0.2,5.8,0.4,2000,True
2,Rafer Alston,PG,23,MIL,4,16,-11.6,.000,.333,.667,0.0,0.0,0.0,7.9,0.0,0.0,20.5,14.1,,-0.1,0.0,-0.1,-0.367,,-11.3,-6.9,-18.3,-0.1,2000,True
3,Nick Anderson,SG,32,SAC,5,132,7.8,.480,.588,.235,3.2,10.0,6.7,2.5,0.4,1.4,9.6,14.2,,0.0,-0.1,0.0,-0.014,,-1.1,-1.3,-2.4,0.0,2000,True
4,Greg Anthony,PG,32,POR,15,213,11.9,.508,.596,.308,1.2,8.3,4.8,20.0,3.4,1.5,16.9,16.3,,0.1,0.3,0.4,.095,,-0.5,3.2,2.7,0.3,2000,True
5,Stacey Augmon,SG,31,POR,7,34,-0.2,.349,.000,.167,0.0,7.4,3.7,0.0,0.0,0.0,0.0,18.5,,-0.1,0.0,-0.1,-0.071,,-8.0,-3.7,-11.7,-0.1,2000,True
6,Toby Bailey,SG,24,PHO,5,15,9.1,.347,.000,1.000,7.0,7.1,7.1,21.2,0.0,0.0,0.0,17.1,,0.0,0.0,0.0,.036,,0.6,-0.6,0.0,0.0,2000,True
7,Vin Baker,C,28,SEA,5,177,10.2,.424,.013,.227,10.0,15.0,12.4,10.2,1.5,0.9,16.2,25.6,,-0.3,0.1,-0.2,-0.043,,-3.7,-1.8,-5.5,-0.2,2000,True
8,Brent Barry,SG,28,SEA,5,155,9.7,.536,.606,.424,2.2,7.8,4.9,14.9,1.0,1.5,15.2,13.7,,0.2,0.1,0.2,.072,,-1.2,0.0,-1.2,0.0,2000,True
9,Jon Barry,SG,30,SAC,5,102,18.5,.695,.571,.762,2.1,9.9,6.1,19.2,1.5,0.0,12.5,14.2,,0.4,0.0,0.4,.169,,3.8,1.1,4.9,0.2,2000,True
10,Jonathan Bender,SF,19,IND,9,21,23.9,.694,.167,1.000,0.0,16.5,8.4,0.0,2.6,0.0,0.0,19.5,,0.1,0.0,0.1,.247,,4.9,3.1,8.0,0.0,2000,True
11,Travis Best,PG,27,IND,23,463,17.0,.514,.168,.246,3.9,10.5,7.3,25.5,2.2,0.6,11.2,22.9,,0.8,0.4,1.2,.120,,1.0,1.0,2.0,0.5,2000,True
12,Corie Blount,PF,31,PHO,9,162,13.0,.565,.000,.581,16.2,20.4,18.3,3.1,2.0,2.7,25.0,14.3,,0.1,0.3,0.4,.113,,-3.0,2.1,-1.0,0.0,2000,True
13,Muggsy Bogues,PG,35,TOR,3,87,4.5,.358,.429,.143,3.9,4.4,4.2,11.3,2.6,0.0,15.2,14.2,,-0.1,0.1,-0.1,-0.034,,-3.3,-1.5,-4.8,-0.1,2000,True
14,Lazaro Borrell,SF,27,SEA,2,26,19.3,.571,.000,.571,12.8,37.1,24.5,6.7,0.0,0.0,10.2,17.3,,0.1,0.0,0.1,.163,,2.0,-1.0,1.1,0.0,2000,True
15,Bruce Bowen,SF,28,MIA,10,157,7.4,.514,.815,.593,0.8,6.8,3.8,8.9,2.5,2.1,15.0,12.6,,0.0,0.3,0.4,.112,,-3.3,3.4,0.1,0.1,2000,True
16,Ira Bowman,SG,26,PHI,7,11,-4.7,.000,.500,1.000,0.0,0.0,0.0,25.8,0.0,0.0,0.0,12.0,,-0.1,0.0,-0.1,-0.261,,-7.8,-4.9,-12.7,0.0,2000,True
