Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
28,Clint Capela,C,24,HOU,11,331,15.8,.549,.000,.427,14.4,23.8,19.2,7.7,0.5,3.4,14.1,15.2,,0.5,0.4,0.9,.128,,0.3,-1.0,-0.6,0.1,2019,True
29,DeMarre Carroll,PF,32,BRK,5,119,5.4,.397,.632,.211,4.8,13.1,8.6,2.3,1.6,0.0,6.7,15.2,,-0.1,0.0,-0.1,-0.049,,-3.4,-2.0,-5.4,-0.1,2019,True
30,Michael Carter-Williams,PG,27,ORL,5,92,9.2,.478,.258,.258,2.2,23.0,11.9,24.1,1.6,0.0,18.8,20.5,,-0.1,0.1,0.0,-0.020,,-3.9,1.8,-2.1,0.0,2019,True
31,Wilson Chandler,SF,31,LAC,4,52,2.6,.422,.625,.250,0.0,13.7,6.4,5.2,1.8,0.0,14.5,16.6,,-0.1,0.0,-0.1,-0.119,,-7.0,-1.4,-8.4,-0.1,2019,True
32,Gary Clark,PF,24,HOU,2,4,3.1,,,,0.0,27.3,14.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.048,,-1.6,1.0,-0.6,0.0,2019,True
33,Zach Collins,C,21,POR,16,275,14.4,.592,.259,.309,6.5,15.8,11.2,7.9,1.3,6.4,17.9,17.7,,0.2,0.3,0.5,.090,,-2.0,2.7,0.7,0.2,2019,True
34,Darren Collison,PG,31,IND,4,117,9.9,.504,.244,.133,3.4,8.3,5.6,25.5,0.9,0.0,17.3,22.8,,-0.1,0.1,0.0,.002,,-2.6,-1.5,-4.1,-0.1,2019,True
35,Pat Connaughton,SG,26,MIL,15,324,13.5,.577,.545,.104,3.2,24.8,14.4,9.2,0.9,3.6,10.1,11.9,,0.3,0.7,1.0,.142,,0.3,2.7,3.0,0.4,2019,True
36,Quinn Cook,PG,25,GSW,17,193,8.0,.495,.486,.057,1.2,9.3,5.4,8.8,0.8,0.5,7.7,17.5,,0.0,0.0,0.0,.001,,-2.7,-2.3,-5.0,-0.1,2019,True
37,DeMarcus Cousins,C,28,GSW,8,133,11.0,.477,.226,.472,8.0,25.2,16.9,20.7,1.9,4.4,22.9,27.1,,-0.2,0.2,-0.1,-0.029,,-4.9,1.4,-3.5,-0.1,2019,True
38,Torrey Craig,SF,28,DEN,14,330,12.2,.605,.522,.232,6.6,16.5,11.5,5.1,1.1,1.2,7.3,11.1,,0.6,0.2,0.8,.113,,-0.9,0.9,0.0,0.2,2019,True
39,Jae Crowder,SF,28,UTA,5,130,14.0,.524,.652,.413,3.1,21.0,11.7,5.2,1.9,0.0,1.8,18.2,,0.2,0.1,0.3,.109,,1.1,2.0,3.1,0.2,2019,True
