Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
1,Precious Achiuwa,PF,24,NYK,9,184,12.4,.482,.070,.302,13.5,10.6,12.1,3.8,1.1,6.0,7.6,12.6,,0.1,0.1,0.2,.053,,-3.4,-0.1,-3.5,-0.1,2024,True
2,Bam Adebayo,C,26,MIA,5,192,18.2,.532,.103,.216,6.5,22.7,14.4,20.1,0.6,0.0,7.0,29.1,,0.1,0.1,0.2,.047,,1.7,0.4,2.1,0.2,2024,True
3,Nickeil Alexander-Walker,SG,25,MIN,16,378,8.7,.498,.723,.089,1.6,7.2,4.4,14.0,1.4,1.8,11.4,15.8,,0.0,0.3,0.3,.042,,-2.1,0.8,-1.3,0.1,2024,True
4,Grayson Allen,SG,28,PHO,2,43,4.5,.518,1.000,.800,5.6,17.2,11.3,6.5,1.2,0.0,30.7,10.6,,0.0,0.0,-0.1,-0.062,,-4.3,-1.2,-5.5,0.0,2024,True
5,Jarrett Allen,C,25,CLE,4,127,27.2,.702,.000,.703,13.7,35.9,24.9,6.8,2.0,3.2,9.4,19.6,,0.5,0.3,0.8,.285,,5.8,2.5,8.4,0.3,2024,True
6,Jose Alvarado,PG,25,NOP,4,62,-0.2,.175,.700,.000,0.0,7.6,3.5,22.3,4.1,1.6,16.7,17.0,,-0.3,0.1,-0.2,-0.177,,-7.8,1.9,-6.0,-0.1,2024,True
7,Kyle Anderson,PF,30,MIN,15,231,14.5,.514,.140,.211,9.2,11.3,10.3,23.7,2.3,2.1,13.8,14.2,,0.4,0.3,0.6,.132,,-0.7,3.0,2.3,0.3,2024,True
8,Thanasis Antetokounmpo,PF,31,MIL,2,5,15.7,,,,0.0,0.0,0.0,0.0,10.3,19.7,,0.0,,0.0,0.0,0.0,.180,,-3.6,15.8,12.1,0.0,2024,True
9,Cole Anthony,PG,23,ORL,7,103,5.9,.400,.317,.220,2.1,14.7,8.1,14.4,2.0,0.9,10.0,21.3,,-0.2,0.2,0.0,.021,,-6.0,1.2,-4.8,-0.1,2024,True
10,OG Anunoby,SF,26,NYK,9,324,13.9,.583,.351,.117,2.4,17.7,9.8,4.8,1.3,2.5,7.9,17.2,,0.3,0.1,0.4,.064,,-0.7,1.1,0.4,0.2,2024,True
11,Paolo Banchero,PF,21,ORL,7,262,18.9,.554,.268,.329,5.7,20.5,12.8,22.5,1.5,1.4,15.8,33.9,,0.0,0.6,0.6,.109,,3.3,1.4,4.7,0.4,2024,True
12,Nicolas Batum,PF,35,PHI,6,170,9.4,.584,.759,.276,6.2,16.6,11.6,6.8,0.3,2.5,13.3,10.2,,0.2,0.1,0.2,.068,,-0.5,0.2,-0.4,0.1,2024,True
13,Bradley Beal,SG,30,PHO,4,154,9.9,.539,.390,.085,4.7,4.0,4.4,20.7,1.0,0.6,17.5,22.6,,-0.1,-0.2,-0.3,-0.078,,-0.3,-3.5,-3.8,-0.1,2024,True
14,Malik Beasley,SG,27,MIL,6,131,12.8,.646,.610,.000,0.9,12.0,6.5,4.5,1.6,0.0,6.8,15.4,,0.2,0.0,0.2,.077,,-1.1,0.6,-0.5,0.1,2024,True
15,MarJon Beauchamp,SF,23,MIL,4,10,-0.9,.307,.500,.500,0.0,11.2,5.6,27.2,0.0,0.0,17.0,27.0,,-0.1,0.0,-0.1,-0.263,,-11.2,-3.6,-14.8,0.0,2024,True
16,Patrick Beverley,PG,35,MIL,6,210,11.5,.537,.282,.385,2.2,8.6,5.4,20.7,1.5,1.9,11.6,11.3,,0.3,0.1,0.4,.081,,-1.4,2.1,0.8,0.1,2024,True
17,Goga Bitadze,C,24,ORL,2,10,-0.4,.000,.000,.000,10.7,23.3,16.7,27.2,0.0,0.0,33.3,13.2,,0.0,0.0,0.0,-0.136,,-6.5,1.2,-5.3,0.0,2024,True
18,Anthony Black,PG,20,ORL,2,11,16.2,.429,.286,.000,9.7,10.6,10.1,39.3,4.6,0.0,12.5,31.9,,0.0,0.0,0.0,.039,,-4.1,3.0,-1.1,0.0,2024,True
19,Bojan Bogdanović,SF,34,NYK,4,51,10.3,.443,.625,.292,2.2,26.3,13.8,11.5,0.0,1.8,3.6,24.3,,0.0,0.0,0.0,.006,,-0.5,-1.0,-1.5,0.0,2024,True
20,Bol Bol,PF,24,PHO,3,13,5.6,.333,.000,.000,0.0,37.9,18.8,0.0,3.9,0.0,0.0,10.8,,0.0,0.0,0.0,-0.044,,-5.6,-1.2,-6.8,0.0,2024,True
21,Devin Booker,PG,27,PHO,4,166,22.2,.662,.308,.631,0.7,8.9,4.8,26.7,2.2,0.6,11.7,26.6,,0.6,-0.1,0.5,.145,,4.7,-0.3,4.5,0.3,2024,True
22,Brandon Boston Jr.,SF,22,LAC,3,10,16.0,.512,.000,.500,11.6,11.2,11.4,18.4,0.0,0.0,0.0,22.3,,0.0,0.0,0.0,.121,,-0.7,-0.1,-0.8,0.0,2024,True
23,Christian Braun,SG,22,DEN,12,204,10.0,.500,.333,.296,4.9,13.2,8.9,6.3,0.5,2.3,1.6,14.0,,0.1,0.2,0.3,.076,,-1.9,-0.3,-2.2,0.0,2024,True
24,Oshae Brissett,SF,25,BOS,10,55,15.3,.627,.182,.364,6.4,23.3,14.9,0.0,2.8,3.3,7.3,11.6,,0.1,0.1,0.2,.164,,0.2,2.5,2.7,0.1,2024,True
25,Jaylen Brown,SF,27,BOS,19,707,19.1,.591,.324,.304,3.7,15.0,9.4,15.5,1.7,1.6,11.7,28.6,,0.9,1.1,2.0,.133,,1.0,0.8,1.8,0.7,2024,True
26,Kendall Brown,SG,20,IND,7,25,-2.2,.333,.000,.000,0.0,13.8,7.0,9.5,0.0,3.7,33.3,16.3,,-0.1,0.0,-0.1,-0.212,,-9.7,-2.5,-12.2,-0.1,2024,True
27,Kobe Brown,PF,24,LAC,3,10,3.9,,,,11.6,11.2,11.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.051,,-3.9,-0.8,-4.7,0.0,2024,True
28,Jalen Brunson,PG,27,NYK,13,518,22.1,.536,.247,.353,1.7,8.3,4.9,35.3,1.0,0.4,8.2,36.4,,1.4,-0.1,1.2,.115,,5.0,-1.2,3.8,0.8,2024,True
29,Thomas Bryant,C,26,MIA,2,18,23.4,.721,.286,.429,12.6,20.2,16.3,12.0,0.0,0.0,19.4,28.1,,0.0,0.0,0.0,.107,,3.9,0.5,4.4,0.0,2024,True
30,Alec Burks,SG,32,NYK,6,121,26.5,.694,.560,.640,3.7,16.2,9.7,8.1,0.4,0.8,0.0,23.3,,0.7,0.0,0.7,.285,,6.6,1.7,8.3,0.3,2024,True
31,Kentavious Caldwell-Pope,SG,30,DEN,12,420,8.4,.534,.640,.128,1.3,8.4,4.7,10.1,2.1,1.1,9.9,11.0,,0.1,0.4,0.6,.067,,-3.1,1.7,-1.4,0.1,2024,True
32,Wendell Carter Jr.,C,24,ORL,7,185,10.5,.511,.532,.234,5.2,22.1,13.3,7.7,1.4,2.0,8.8,13.5,,0.1,0.5,0.5,.138,,-2.0,1.8,-0.2,0.1,2024,True
33,Amir Coffey,SF,26,LAC,6,112,1.2,.386,.500,.000,2.1,8.0,5.1,2.6,0.9,0.9,18.5,11.0,,-0.2,0.0,-0.2,-0.084,,-6.1,-1.0,-7.1,-0.1,2024,True
34,Mike Conley,PG,36,MIN,15,474,15.0,.553,.524,.193,2.5,12.0,7.3,26.8,2.3,0.6,11.3,17.0,,0.8,0.5,1.3,.134,,0.5,2.3,2.8,0.6,2024,True
35,Pat Connaughton,SF,31,MIL,6,124,11.7,.522,.440,.080,2.7,18.1,10.5,14.0,2.5,0.8,10.4,10.7,,0.1,0.1,0.2,.073,,-2.2,2.7,0.5,0.1,2024,True
36,Jae Crowder,PF,33,MIL,4,42,5.5,.349,.583,.167,5.4,10.7,8.1,6.2,0.0,4.7,0.0,14.1,,0.0,0.0,0.0,-0.033,,-6.1,-1.7,-7.8,-0.1,2024,True
37,Dyson Daniels,PG,20,NOP,3,17,4.4,.333,.333,.000,0.0,13.9,6.4,0.0,6.0,0.0,14.3,18.0,,-0.1,0.0,0.0,-0.107,,-6.8,2.3,-4.6,0.0,2024,True
38,Anthony Davis,C,30,LAL,5,208,26.9,.665,.054,.280,8.2,32.7,20.8,16.5,0.5,3.3,9.5,25.6,,0.7,0.3,1.0,.239,,4.6,2.7,7.3,0.5,2024,True
39,Mamadi Diakite,PF,27,NYK,4,15,2.1,.258,.667,.667,0.0,24.4,11.7,8.1,3.5,6.1,20.5,14.3,,-0.1,0.0,0.0,-0.101,,-12.0,4.0,-8.0,0.0,2024,True
40,Ousmane Dieng,PF,20,OKC,4,7,5.4,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,.021,,-3.1,-1.7,-4.8,0.0,2024,True
41,Spencer Dinwiddie,PG,30,LAL,5,73,7.5,.451,.571,.429,1.6,8.9,5.3,13.7,1.4,1.2,5.7,11.2,,0.0,0.1,0.1,.041,,-3.3,1.7,-1.5,0.0,2024,True
42,Donte DiVincenzo,SG,27,NYK,13,466,15.7,.566,.555,.157,3.1,10.2,6.5,11.2,1.8,2.4,7.3,20.8,,0.8,0.1,0.9,.093,,1.7,0.4,2.0,0.5,2024,True
43,Luka Dončić,PG,24,DAL,22,900,22.5,.556,.419,.304,2.1,24.2,13.2,35.3,2.4,0.9,13.6,33.4,,1.3,1.5,2.8,.149,,5.1,2.4,7.6,2.2,2024,True
44,Luguentz Dort,SF,24,OKC,10,350,9.6,.538,.703,.209,6.2,8.2,7.3,7.9,1.9,0.5,10.0,14.4,,0.2,0.6,0.8,.111,,-1.8,1.3,-0.5,0.1,2024,True
45,Kevin Durant,PF,35,PHO,4,168,20.9,.653,.179,.507,0.7,18.3,9.4,15.1,0.6,3.3,10.9,25.7,,0.4,-0.1,0.3,.093,,4.9,-1.0,3.8,0.2,2024,True
46,Anthony Edwards,SG,22,MIN,16,649,22.5,.598,.355,.315,3.3,17.1,10.2,28.3,1.9,1.3,12.4,29.5,,1.5,0.8,2.3,.172,,4.6,2.1,6.7,1.4,2024,True
47,Joel Embiid,C,29,PHI,6,248,26.3,.592,.293,.586,9.0,20.1,14.8,26.4,1.5,3.1,13.0,35.7,,0.7,0.3,1.0,.193,,6.8,1.6,8.4,0.7,2024,True
48,Drew Eubanks,C,26,PHO,3,37,13.1,.638,.000,.250,0.0,13.3,6.6,0.0,2.8,2.5,13.1,19.4,,0.0,0.0,0.0,.007,,-2.8,1.1,-1.7,0.0,2024,True
49,Dante Exum,PG,28,DAL,21,144,7.7,.461,.455,.136,2.4,11.1,6.8,11.9,1.1,0.7,9.7,16.3,,-0.1,0.1,0.1,.024,,-2.6,-0.5,-3.1,0.0,2024,True
50,Markelle Fultz,PG,25,ORL,7,106,12.6,.593,.029,.265,7.0,7.7,7.4,13.8,1.4,0.0,17.4,19.0,,0.0,0.2,0.2,.113,,-3.1,1.5,-1.6,0.0,2024,True
51,Daniel Gafford,PF,25,DAL,22,445,20.4,.650,.000,.528,10.9,20.4,15.7,5.3,0.7,7.1,11.1,17.4,,1.0,0.7,1.7,.187,,1.5,1.2,2.7,0.5,2024,True
52,Danilo Gallinari,SF,35,MIL,3,37,11.5,.564,.250,.500,3.1,24.3,13.7,7.4,0.0,0.0,9.3,13.4,,0.0,0.0,0.0,.054,,-3.6,-0.5,-4.0,0.0,2024,True
53,Darius Garland,PG,24,CLE,12,432,12.4,.522,.415,.123,0.3,11.1,5.7,26.2,1.6,0.5,13.0,22.3,,-0.1,0.4,0.3,.037,,-0.9,0.0,-0.9,0.1,2024,True
54,Luka Garza,C,25,MIN,7,26,48.4,.934,.250,.667,9.1,18.2,13.7,9.1,0.0,0.0,0.0,27.2,,0.3,0.0,0.3,.518,,19.7,4.6,24.3,0.2,2024,True
55,Paul George,PF,33,LAC,6,222,16.1,.552,.516,.263,1.6,19.2,10.5,23.0,1.7,1.4,11.7,24.7,,0.2,0.2,0.4,.092,,1.8,1.4,3.2,0.3,2024,True
56,Josh Giddey,SG,21,OKC,10,181,14.8,.554,.453,.107,4.4,17.1,11.0,18.3,0.6,2.1,13.3,22.8,,0.1,0.3,0.4,.101,,1.4,0.9,2.3,0.2,2024,True
57,Shai Gilgeous-Alexander,PG,25,OKC,10,399,25.5,.582,.165,.362,2.3,17.1,10.0,29.6,1.7,4.0,7.8,32.2,,1.1,0.9,1.9,.233,,5.9,3.3,9.2,1.1,2024,True
58,Rudy Gobert,C,31,MIN,15,512,16.2,.652,.000,.760,9.3,24.7,17.0,6.9,1.4,2.8,14.2,14.4,,1.0,0.7,1.7,.160,,-1.0,2.1,1.1,0.4,2024,True
59,Aaron Gordon,PF,28,DEN,12,445,18.2,.660,.229,.237,8.9,13.4,11.1,18.2,1.2,1.5,12.1,15.3,,1.2,0.4,1.6,.175,,3.1,1.4,4.5,0.7,2024,True
60,Eric Gordon,SG,35,PHO,4,118,7.6,.508,.607,.286,1.0,6.3,3.6,6.4,2.2,1.6,11.3,14.1,,-0.1,-0.1,-0.1,-0.053,,-1.2,-1.1,-2.3,0.0,2024,True
61,A.J. Green,SG,24,MIL,6,67,4.4,.491,.688,.188,0.0,15.1,7.6,4.0,0.0,0.0,5.5,12.6,,0.0,0.0,0.0,-0.009,,-7.4,-2.1,-9.5,-0.1,2024,True
62,Josh Green,SG,23,DAL,22,399,12.0,.584,.694,.224,6.1,10.0,8.0,8.0,2.2,0.7,7.0,11.4,,0.6,0.4,1.1,.130,,0.3,2.1,2.4,0.4,2024,True
63,Rui Hachimura,PF,25,LAL,5,152,5.8,.470,.368,.211,4.5,9.2,6.9,3.4,0.0,0.0,4.6,13.2,,0.0,0.0,0.0,.000,,-3.3,-2.3,-5.6,-0.1,2024,True
64,Tyrese Haliburton,PG,23,IND,15,522,22.0,.626,.651,.093,2.8,13.2,8.1,32.7,1.9,1.8,12.2,22.1,,1.6,0.3,1.8,.169,,6.4,-0.3,6.2,1.1,2024,True
65,Tim Hardaway Jr.,SF,31,DAL,14,178,9.1,.496,.638,.138,1.3,14.7,8.0,4.1,1.5,0.5,3.1,16.2,,0.0,0.2,0.2,.056,,-2.1,0.4,-1.7,0.0,2024,True
66,James Harden,PG,34,LAC,6,242,20.5,.616,.528,.360,1.4,11.1,6.4,34.3,1.3,2.5,12.0,22.1,,0.8,0.1,0.9,.173,,6.0,1.6,7.7,0.6,2024,True
67,Jaden Hardy,SG,21,DAL,19,129,16.1,.536,.397,.221,1.8,11.5,6.7,22.5,1.2,0.0,8.6,28.8,,0.1,0.1,0.3,.095,,1.0,0.0,1.0,0.1,2024,True
