Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
1,Tariq Abdul-Wahad,SG,28,DAL,8,79,12.6,.373,.067,.267,15.2,15.4,15.3,13.0,0.0,0.0,2.9,19.7,,0.1,0.0,0.1,.034,,0.8,-3.0,-2.2,0.0,2003,True
2,Courtney Alexander,PG,25,NOH,5,39,14.4,.507,.063,.250,6.3,6.3,6.3,4.9,2.8,0.0,5.3,22.4,,0.1,0.0,0.1,.097,,-1.5,0.3,-1.2,0.0,2003,True
3,John Amaechi,C,32,UTA,2,16,-2.2,.347,.000,1.000,0.0,7.8,3.8,0.0,0.0,0.0,0.0,16.1,,0.0,0.0,0.0,-0.105,,-8.5,-2.3,-10.9,0.0,2003,True
4,Derek Anderson,PG,28,POR,2,22,-4.1,.225,.250,.250,5.3,0.0,2.7,0.0,0.0,0.0,18.4,11.2,,-0.1,0.0,-0.1,-0.197,,-7.9,-5.3,-13.2,-0.1,2003,True
5,Kenny Anderson,PG,32,NOH,5,51,7.7,.413,.000,.250,0.0,4.8,2.4,28.2,3.2,0.0,23.1,15.8,,0.0,0.0,0.0,-0.016,,-4.5,1.0,-3.5,0.0,2003,True
6,Darrell Armstrong,PG,34,ORL,7,226,11.5,.615,.409,.500,3.7,5.2,4.5,20.6,1.4,0.0,24.1,15.0,,0.3,0.1,0.3,.069,,0.6,-0.8,-0.2,0.1,2003,True
7,Carlos Arroyo,PG,23,UTA,3,27,14.1,.418,.000,.444,9.0,0.0,4.5,31.2,0.0,0.0,0.0,17.8,,0.1,0.0,0.0,.050,,3.0,-4.1,-1.2,0.0,2003,True
8,Chucky Atkins,PG,28,DET,17,312,9.9,.503,.538,.286,0.7,7.0,3.8,16.0,3.0,0.0,14.9,18.6,,0.0,0.4,0.4,.061,,-2.6,1.2,-1.5,0.0,2003,True
9,Stacey Augmon,SG,34,NOH,4,69,7.7,.459,.000,.533,1.8,16.0,8.9,6.9,2.4,0.0,13.9,14.5,,0.0,0.1,0.0,.030,,-4.2,1.4,-2.9,0.0,2003,True
10,Jon Barry,SG,33,DET,14,172,19.3,.604,.611,.167,3.3,13.4,8.2,23.8,2.6,0.4,10.8,18.2,,0.5,0.3,0.7,.202,,4.0,2.0,6.0,0.3,2003,True
11,Tony Battie,C,26,BOS,10,213,13.2,.564,.055,.145,7.1,19.1,13.2,4.4,1.0,5.2,10.7,14.6,,0.2,0.4,0.6,.127,,-2.8,1.6,-1.2,0.0,2003,True
12,Raja Bell,SG,26,DAL,17,305,13.9,.593,.178,.274,4.6,13.8,9.2,13.3,0.8,0.0,6.8,12.9,,0.8,0.0,0.8,.121,,0.8,1.5,2.3,0.3,2003,True
13,Jonathan Bender,SF,22,IND,3,34,17.5,.482,.600,.400,9.6,13.5,11.5,0.0,0.0,5.4,0.0,23.9,,0.1,0.0,0.1,.117,,6.0,-2.3,3.7,0.0,2003,True
14,Mike Bibby,PG,24,SAC,12,404,14.5,.507,.289,.252,2.2,6.2,4.2,22.4,1.8,0.9,10.7,18.2,,0.6,0.1,0.7,.082,,1.0,0.1,1.0,0.3,2003,True
15,Chauncey Billups*,PG,26,DET,14,485,17.9,.549,.442,.474,1.0,10.8,5.7,28.6,1.0,0.3,12.9,26.2,,1.0,0.5,1.5,.144,,3.0,-0.5,2.5,0.5,2003,True
16,Mark Blount,C,27,BOS,10,144,13.9,.587,.000,.455,9.8,18.9,14.4,2.3,4.1,4.4,23.3,11.3,,0.1,0.3,0.4,.139,,-2.1,2.8,0.6,0.1,2003,True
17,Bruce Bowen,SF,31,SAS,24,750,8.9,.508,.552,.290,2.1,7.8,5.0,8.3,1.4,1.7,8.4,10.9,,0.5,1.1,1.6,.104,,-0.5,1.7,1.1,0.6,2003,True
18,Shawn Bradley,C,30,DAL,17,246,7.1,.443,.020,.240,10.2,18.9,14.5,2.8,0.6,4.4,21.3,12.8,,-0.1,0.1,0.0,.001,,-4.6,-0.6,-5.2,-0.2,2003,True
19,J.R. Bremer,PG,22,BOS,10,147,5.1,.395,.571,.143,0.0,11.6,5.9,14.4,1.1,0.0,11.8,21.8,,-0.3,0.1,-0.2,-0.063,,-4.2,-2.4,-6.6,-0.2,2003,True
20,Kedrick Brown,SF,21,BOS,3,11,12.2,.307,.000,.500,21.3,0.0,10.5,0.0,4.8,0.0,0.0,21.0,,0.0,0.0,0.0,.007,,2.6,-1.7,0.9,0.0,2003,True
21,P.J. Brown,PF,33,NOH,6,193,16.3,.555,.000,.568,12.7,16.5,14.6,5.2,2.0,1.2,8.3,14.5,,0.5,0.1,0.6,.153,,0.8,-0.2,0.6,0.1,2003,True
22,Kobe Bryant*,SG,24,LAL,12,531,22.2,.531,.196,.328,3.3,10.1,6.6,22.8,1.4,0.1,10.4,34.0,,1.2,0.2,1.5,.131,,5.6,-1.9,3.7,0.8,2003,True
23,Mark Bryant,PF,37,BOS,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.006,,-3.0,-2.8,-5.7,0.0,2003,True
24,Greg Buckner,SG,26,PHI,10,112,4.3,.397,.290,.129,3.4,14.8,9.3,4.5,0.5,1.6,8.4,15.2,,-0.1,0.1,0.0,.006,,-4.4,-1.0,-5.4,-0.1,2003,True
25,Pat Burke,C,29,ORL,6,43,12.5,.672,.000,.600,2.8,27.3,15.2,4.6,1.3,0.0,24.0,18.6,,0.0,0.1,0.1,.101,,-3.1,1.9,-1.2,0.0,2003,True
26,Sam Cassell,PG,33,MIL,6,217,13.5,.575,.253,.181,1.7,8.7,5.3,13.0,0.7,0.3,15.9,23.1,,0.2,0.0,0.1,.028,,2.1,-3.3,-1.2,0.0,2003,True
27,Calbert Cheaney,SG,31,UTA,5,122,1.8,.382,.000,.148,3.0,4.1,3.5,10.5,0.9,0.6,19.6,13.1,,-0.2,-0.1,-0.3,-0.119,,-5.2,-2.3,-7.5,-0.2,2003,True
28,Doug Christie,SG,32,SAC,12,381,13.3,.484,.242,.313,4.4,17.0,10.7,20.4,1.6,0.6,16.3,15.4,,0.3,0.2,0.5,.067,,-0.6,1.0,0.4,0.2,2003,True
29,Keon Clark,C,27,SAC,12,171,11.0,.547,.000,.512,9.1,19.2,14.2,3.4,0.9,3.3,20.6,16.2,,0.1,0.1,0.2,.050,,-3.9,0.3,-3.6,-0.1,2003,True
30,Speedy Claxton,PG,24,SAS,24,326,14.4,.503,.000,.419,2.4,12.4,7.6,24.6,2.6,1.2,16.2,20.8,,0.2,0.6,0.8,.117,,-1.6,2.6,0.9,0.2,2003,True
31,Derrick Coleman,C,35,PHI,12,449,18.0,.588,.085,.398,8.2,17.7,13.1,9.6,0.9,3.2,10.9,16.6,,1.1,0.5,1.6,.175,,2.8,1.1,3.8,0.7,2003,True
