Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Playoffs
1.0,Andre Iguodala,25.0,PHI,SF,82.0,82.0,3269.0,18.4,0.56,0.228,0.454,3.3,14.0,8.6,22.4,2.1,0.9,13.9,22.3,5.6,3.5,9.2,0.134,2.6,0.6,3.2,4.3,DPOY-13,2009,False
2.0,Joe Johnson,27.0,ATL,SG,79.0,79.0,3124.0,18.2,0.534,0.292,0.255,2.4,10.5,6.5,26.4,1.4,0.5,11.0,26.6,5.1,2.5,7.6,0.116,2.7,-0.9,1.8,3.1,AS,2009,False
3.0,O.J. Mayo,21.0,MEM,SG,82.0,82.0,3120.0,14.2,0.539,0.295,0.219,2.2,10.1,6.1,15.5,1.6,0.3,13.8,24.5,1.5,1.8,3.4,0.052,0.2,-1.4,-1.3,0.6,ROY-2,2009,False
4.0,Antawn Jamison,32.0,WAS,PF,81.0,81.0,3096.0,20.6,0.549,0.221,0.314,7.2,20.5,13.7,9.1,1.6,0.7,7.1,25.9,6.6,1.6,8.1,0.126,3.3,-1.7,1.6,2.8,,2009,False
5.0,Raymond Felton,24.0,CHA,PG,82.0,81.0,3086.0,13.7,0.483,0.191,0.251,2.2,10.2,6.2,31.1,2.2,0.8,15.9,21.9,0.6,3.7,4.3,0.066,-0.6,0.4,-0.1,1.4,,2009,False
6.0,Tayshaun Prince,28.0,DET,SF,82.0,82.0,3057.0,15.0,0.516,0.138,0.238,4.9,13.7,9.2,13.8,0.8,1.3,8.2,19.2,3.7,2.5,6.2,0.098,1.4,-0.2,1.2,2.5,,2009,False
7.0,LeBron James,24.0,CLE,SF,81.0,81.0,3054.0,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,"MVP-1,DPOY-2,AS,NBA1,DEF1",2009,False
8.0,Dirk Nowitzki,30.0,DAL,PF,81.0,81.0,3050.0,23.1,0.564,0.105,0.337,3.3,22.1,12.8,12.1,1.0,1.5,7.8,30.3,7.5,3.4,10.9,0.171,3.7,-0.3,3.4,4.2,"MVP-10,AS,NBA1",2009,False
9.0,Dwyane Wade,27.0,MIA,SG,79.0,79.0,3048.0,30.4,0.574,0.16,0.443,3.5,12.2,7.8,40.3,3.0,2.8,11.6,36.2,10.3,4.4,14.7,0.232,8.2,2.4,10.6,9.6,"MVP-3,DPOY-3,AS,NBA1,DEF2",2009,False
10.0,Paul Pierce,31.0,BOS,SF,81.0,81.0,3035.0,17.7,0.582,0.257,0.468,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,5.5,4.8,10.3,0.164,2.4,0.7,3.1,3.9,"MVP-7,AS,NBA2",2009,False
11.0,LaMarcus Aldridge,23.0,POR,PF,81.0,81.0,3004.0,19.1,0.529,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,6.1,3.3,9.5,0.151,1.7,-0.4,1.3,2.5,,2009,False
12.0,Chris Paul,23.0,NOH,PG,78.0,78.0,3002.0,30.0,0.599,0.14,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,13.3,5.0,18.3,0.292,7.2,3.8,11.0,9.9,"MVP-5,DPOY-6,AS,NBA2,DEF1",2009,False
13.0,Derrick Rose,20.0,CHI,PG,81.0,80.0,3000.0,16.0,0.516,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,3.4,1.5,4.9,0.078,1.1,-1.5,-0.4,1.2,ROY-1,2009,False
14.0,Ben Gordon,25.0,CHI,SG,82.0,76.0,2999.0,17.0,0.573,0.321,0.29,2.0,8.8,5.4,15.9,1.2,0.5,11.9,25.0,5.2,1.7,6.9,0.11,2.4,-1.3,1.1,2.3,,2009,False
15.0,Pau Gasol,28.0,LAL,C,81.0,81.0,2999.0,22.2,0.617,0.002,0.42,10.0,19.3,14.7,14.8,0.9,2.1,11.3,20.4,9.8,4.2,13.9,0.223,4.0,0.5,4.5,5.0,"AS,NBA3",2009,False
16.0,David West,28.0,NOH,PF,76.0,76.0,2982.0,18.9,0.54,0.019,0.321,6.5,19.7,13.1,10.9,0.9,1.9,10.0,26.5,4.2,3.5,7.8,0.125,1.3,-0.6,0.6,2.0,AS,2009,False
17.0,Andre Miller,32.0,PHI,PG,82.0,82.0,2976.0,18.6,0.548,0.051,0.393,4.9,9.9,7.4,30.2,2.0,0.4,14.0,21.8,6.2,2.5,8.8,0.141,2.4,0.0,2.4,3.3,,2009,False
18.0,Kobe Bryant,30.0,LAL,SG,82.0,82.0,2960.0,24.4,0.561,0.196,0.329,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,8.6,4.0,12.7,0.206,5.6,0.3,5.9,5.9,"MVP-2,DPOY-7,AS,NBA1,DEF1",2009,False
19.0,John Salmons,29.0,2TM,SF,79.0,74.0,2959.0,16.0,0.58,0.276,0.317,2.3,10.8,6.5,14.5,1.4,0.6,11.7,21.3,4.7,0.8,5.6,0.09,1.6,-1.3,0.3,1.7,,2009,False
19.0,John Salmons,29.0,SAC,SF,53.0,53.0,1980.0,16.0,0.573,0.247,0.312,2.5,10.6,6.5,17.3,1.5,0.3,12.6,21.9,2.9,0.1,3.0,0.072,1.5,-1.7,-0.2,0.9,,2009,False
19.0,John Salmons,29.0,CHI,SF,26.0,21.0,979.0,16.0,0.596,0.338,0.33,1.9,11.2,6.6,8.8,1.3,1.1,9.7,20.2,1.9,0.7,2.6,0.127,1.8,-0.5,1.3,0.8,,2009,False
20.0,Vince Carter,32.0,NJN,SG,80.0,80.0,2946.0,19.3,0.545,0.291,0.305,3.0,13.8,8.3,23.7,1.5,1.1,9.8,26.8,5.7,1.8,7.5,0.123,3.3,-0.8,2.4,3.3,,2009,False
