Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Playoffs
1.0,LeBron James,22.0,CLE,SF,78.0,78.0,3190.0,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.9,2.2,8.1,8.1,"MVP-5,AS,NBA2",2007,False
2.0,Kobe Bryant,28.0,LAL,SG,77.0,77.0,3140.0,26.1,0.58,0.227,0.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13.0,0.199,6.4,-0.5,5.9,6.1,"MVP-3,DPOY-24,AS,NBA1,DEF1",2007,False
3.0,Vince Carter,30.0,NJN,SG,82.0,82.0,3126.0,21.8,0.559,0.273,0.36,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.3,-0.4,3.9,4.6,AS,2007,False
4.0,Elton Brand,27.0,LAC,PF,80.0,80.0,3077.0,23.1,0.581,0.001,0.381,10.5,18.3,14.5,14.7,1.3,4.5,12.5,24.3,7.2,4.3,11.5,0.18,3.4,0.8,4.2,4.8,,2007,False
5.0,Luol Deng,21.0,CHI,SF,82.0,82.0,3071.0,18.7,0.56,0.006,0.295,5.5,15.9,10.8,11.8,1.6,1.2,10.0,22.2,5.7,5.6,11.3,0.176,1.7,1.3,3.0,3.9,DPOY-20,2007,False
6.0,Andre Iguodala,23.0,PHI,SG,76.0,76.0,3062.0,18.1,0.562,0.156,0.556,3.0,14.0,8.5,23.8,2.6,0.8,17.5,22.6,4.1,3.6,7.7,0.12,1.3,1.1,2.4,3.4,DPOY-24,2007,False
7.0,Rafer Alston,30.0,HOU,PG,82.0,82.0,3040.0,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,1.7,4.9,6.6,0.104,-0.7,1.3,0.6,2.0,,2007,False
8.0,Dwight Howard,21.0,ORL,C,82.0,82.0,3023.0,21.1,0.619,0.002,0.763,11.8,28.9,20.5,9.5,1.2,4.2,21.4,22.7,3.9,5.8,9.7,0.154,1.7,1.1,2.8,3.7,"DPOY-16,AS,NBA3",2007,False
9.0,Ricky Davis,27.0,MIN,SF,81.0,81.0,3021.0,15.9,0.566,0.285,0.262,2.2,10.1,6.2,21.9,1.4,0.6,14.7,21.9,3.9,1.9,5.7,0.091,1.2,-0.7,0.5,1.8,,2007,False
10.0,Shawn Marion,28.0,PHO,SF,80.0,80.0,3010.0,20.8,0.594,0.235,0.232,7.0,22.6,15.2,6.7,2.6,2.8,8.8,19.3,6.7,5.3,12.0,0.191,2.4,1.9,4.4,4.8,"DPOY-4,AS",2007,False
11.0,Tayshaun Prince,26.0,DET,SF,82.0,82.0,3001.0,16.0,0.534,0.211,0.225,5.7,11.3,8.5,12.9,0.9,1.4,8.2,18.9,5.1,2.9,8.0,0.128,2.1,-0.4,1.8,2.9,"DPOY-11,DEF2",2007,False
12.0,Kevin Garnett,30.0,MIN,PF,76.0,76.0,2995.0,24.1,0.546,0.042,0.371,7.5,30.8,19.5,19.5,1.6,3.2,11.6,27.4,5.7,4.9,10.7,0.171,3.8,1.7,5.4,5.5,"MVP-9,DPOY-13,AS,NBA3,DEF2",2007,False
13.0,Shane Battier,28.0,HOU,SF,82.0,82.0,2988.0,12.0,0.589,0.57,0.173,2.6,10.4,6.5,9.2,1.4,1.5,9.3,12.1,4.4,4.6,9.0,0.144,0.3,2.0,2.3,3.2,DPOY-5,2007,False
14.0,Andre Miller,30.0,2TM,PG,80.0,79.0,2966.0,16.1,0.52,0.039,0.311,3.9,10.1,7.0,34.3,1.9,0.3,17.7,19.2,3.5,2.4,5.9,0.095,0.5,-0.3,0.2,1.7,,2007,False
14.0,Andre Miller,30.0,DEN,PG,23.0,23.0,822.0,16.6,0.526,0.065,0.343,3.5,10.7,7.1,38.7,2.2,0.3,19.7,18.5,1.1,0.8,1.9,0.113,0.7,0.0,0.7,0.6,,2007,False
14.0,Andre Miller,30.0,PHI,PG,57.0,56.0,2144.0,15.9,0.518,0.029,0.3,4.0,9.8,6.9,32.7,1.8,0.2,16.9,19.4,2.3,1.6,3.9,0.088,0.5,-0.4,0.1,1.1,,2007,False
15.0,Deron Williams,22.0,UTA,PG,80.0,80.0,2950.0,17.1,0.535,0.235,0.273,1.7,9.3,5.5,41.6,1.4,0.4,16.9,22.2,5.3,1.9,7.2,0.117,2.6,-1.3,1.3,2.4,,2007,False
