Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Playoffs
1.0,Damian Lillard,22.0,POR,PG,82.0,82.0,3167.0,16.4,0.546,0.391,0.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,0.088,2.1,-1.9,0.3,1.8,ROY-1,2013,False
2.0,Kevin Durant,24.0,OKC,SF,81.0,81.0,3119.0,28.3,0.647,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,13.6,5.3,18.9,0.291,7.6,1.7,9.3,8.9,"MVP-2,AS,NBA1",2013,False
3.0,Monta Ellis,27.0,MIL,SG,82.0,82.0,3076.0,16.2,0.493,0.228,0.26,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,1.2,3.3,4.6,0.071,0.3,0.3,0.6,2.1,,2013,False
4.0,DeMar DeRozan,23.0,TOR,SG,82.0,82.0,3013.0,14.7,0.523,0.097,0.347,1.9,10.9,6.3,12.0,1.3,0.6,9.6,24.2,3.1,1.6,4.7,0.075,-0.2,-1.2,-1.4,0.4,,2013,False
5.0,Kobe Bryant,34.0,LAL,SG,78.0,78.0,3013.0,23.0,0.57,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,8.4,2.6,10.9,0.174,4.7,-0.1,4.6,5.0,"MVP-5,AS,NBA1",2013,False
6.0,James Harden,23.0,HOU,SG,78.0,78.0,2985.0,22.9,0.6,0.364,0.592,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,9.8,3.0,12.8,0.206,5.2,0.5,5.6,5.8,"MVP-8,AS,NBA3",2013,False
7.0,Stephen Curry,24.0,GSW,PG,78.0,78.0,2983.0,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,8.4,2.8,11.2,0.18,5.3,0.1,5.4,5.6,MVP-11,2013,False
8.0,Paul George,22.0,IND,SF,79.0,79.0,2972.0,16.8,0.531,0.399,0.233,3.4,19.0,11.3,19.6,2.6,1.3,15.2,23.5,2.7,6.3,9.0,0.145,1.5,2.3,3.8,4.4,"DPOY-8,MIP-1,AS,NBA3,DEF2",2013,False
9.0,Klay Thompson,22.0,GSW,SG,82.0,82.0,2936.0,12.7,0.533,0.437,0.13,1.2,10.0,5.7,10.1,1.5,1.2,11.0,21.8,1.7,2.6,4.3,0.07,-0.1,-0.2,-0.3,1.3,,2013,False
10.0,Jrue Holiday,22.0,PHI,PG,78.0,78.0,2926.0,16.7,0.496,0.192,0.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,0.6,2.7,3.3,0.055,1.2,-0.7,0.5,1.9,AS,2013,False
11.0,O.J. Mayo,25.0,DAL,SG,82.0,82.0,2913.0,13.9,0.556,0.34,0.227,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,2.3,1.8,4.2,0.069,0.1,-0.6,-0.5,1.1,,2013,False
12.0,David Lee,29.0,GSW,PF,79.0,79.0,2907.0,19.2,0.561,0.003,0.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,5.4,3.7,9.1,0.15,1.4,0.4,1.8,2.8,"MVP-12,AS,NBA3",2013,False
13.0,Luol Deng,27.0,CHI,SF,75.0,75.0,2903.0,15.1,0.508,0.213,0.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,3.0,3.3,6.3,0.105,1.0,-0.3,0.8,2.0,"DPOY-15,AS",2013,False
14.0,Brandon Jennings,23.0,MIL,PG,80.0,80.0,2897.0,16.1,0.51,0.37,0.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,3.6,2.2,5.8,0.096,1.7,-0.6,1.1,2.2,,2013,False
15.0,Evan Turner,24.0,PHI,SF,82.0,82.0,2892.0,12.1,0.478,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,-0.7,2.9,2.1,0.035,-2.2,-0.2,-2.3,-0.3,,2013,False
16.0,LeBron James,28.0,MIA,PF,76.0,76.0,2877.0,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,"MVP-1,DPOY-2,AS,NBA1,DEF1",2013,False
17.0,Russell Westbrook,24.0,OKC,PG,82.0,82.0,2861.0,23.9,0.532,0.195,0.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,7.7,3.9,11.6,0.195,4.6,-0.2,4.4,4.6,"MVP-9,DPOY-17,AS,NBA2",2013,False
18.0,Kemba Walker,22.0,CHA,PG,82.0,82.0,2859.0,18.8,0.517,0.267,0.298,2.3,9.2,5.7,31.2,2.9,0.9,12.4,25.6,3.7,1.1,4.8,0.08,2.2,-0.8,1.4,2.4,,2013,False
19.0,Deron Williams,28.0,BRK,PG,78.0,78.0,2842.0,20.3,0.574,0.398,0.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,9.1,1.8,10.9,0.184,4.5,-0.7,3.8,4.2,,2013,False
20.0,Nicolas Batum,24.0,POR,SF,73.0,73.0,2807.0,15.7,0.566,0.533,0.252,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,3.8,1.9,5.8,0.099,2.3,0.5,2.8,3.4,,2013,False
21.0,Marc Gasol,28.0,MEM,C,80.0,80.0,2796.0,19.5,0.559,0.016,0.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,6.1,5.4,11.5,0.197,2.1,3.1,5.2,5.1,"MVP-12,DPOY-1,NBA2,DEF2",2013,False
