Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Playoffs
1.0,Antoine Walker,25.0,BOS,PF,81.0,81.0,3406.0,17.1,0.49,0.382,0.192,4.7,18.6,11.5,22.8,1.9,0.9,12.1,27.8,1.5,5.2,6.7,0.094,2.2,0.0,2.2,3.6,AS,2002,False
2.0,Tim Duncan,25.0,SAS,PF,82.0,82.0,3329.0,27.0,0.576,0.007,0.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,10.7,7.1,17.8,0.257,5.4,2.2,7.6,8.0,"MVP-1,AS,NBA1,DEF1",2002,False
3.0,Latrell Sprewell,31.0,NYK,SF,81.0,81.0,3326.0,13.7,0.501,0.284,0.244,2.1,8.3,5.2,17.5,1.5,0.3,12.4,25.1,1.1,1.7,2.8,0.041,0.3,-1.1,-0.8,0.9,,2002,False
4.0,Baron Davis,22.0,CHH,PG,82.0,82.0,3318.0,18.2,0.498,0.356,0.252,3.2,8.8,6.0,37.3,2.8,1.0,14.2,23.9,4.4,3.8,8.2,0.118,3.3,0.4,3.8,4.8,AS,2002,False
5.0,Paul Pierce,24.0,BOS,SG,82.0,82.0,3302.0,22.3,0.57,0.325,0.402,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,7.3,5.6,12.9,0.187,4.7,1.3,5.9,6.6,"MVP-11,AS,NBA3",2002,False
6.0,Gary Payton,33.0,SEA,PG,82.0,82.0,3301.0,22.9,0.526,0.15,0.212,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,10.1,2.5,12.6,0.183,5.2,-0.2,5.1,5.9,"MVP-6,AS,NBA2,DEF1",2002,False
7.0,Stephon Marbury,24.0,PHO,PG,82.0,80.0,3187.0,18.1,0.519,0.176,0.32,2.6,6.9,4.7,35.7,1.3,0.3,15.0,26.6,5.4,1.7,7.1,0.107,2.9,-1.6,1.2,2.6,,2002,False
8.0,Kevin Garnett,25.0,MIN,PF,81.0,81.0,3175.0,23.8,0.536,0.083,0.32,9.0,26.5,17.8,22.4,1.6,2.9,12.5,26.0,7.9,4.9,12.8,0.194,5.1,1.8,6.8,7.1,"MVP-12,DPOY-2,AS,NBA2,DEF1",2002,False
9.0,Eddie Jones,30.0,MIA,SG,81.0,81.0,3156.0,17.5,0.546,0.319,0.296,2.3,11.6,7.0,15.4,2.0,1.9,9.9,22.7,5.6,5.0,10.5,0.16,2.2,1.7,3.9,4.6,,2002,False
10.0,Jalen Rose,29.0,2TM,SF,83.0,83.0,3153.0,16.8,0.528,0.169,0.23,1.6,11.9,6.8,22.0,1.3,1.0,11.1,26.1,3.5,2.1,5.7,0.087,1.4,-1.1,0.3,1.9,,2002,False
