Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Playoffs
1.0,LeBron James,20.0,CLE,SF,80.0,80.0,3388.0,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,7.0,1.7,8.6,9.1,"MVP-6,AS,NBA2",2005,False
2.0,Stephon Marbury,27.0,NYK,PG,82.0,82.0,3281.0,21.9,0.575,0.248,0.42,1.8,7.1,4.4,36.0,2.0,0.1,13.1,24.8,10.4,1.3,11.7,0.171,4.9,-0.7,4.2,5.1,,2005,False
3.0,Gilbert Arenas,23.0,WAS,PG,80.0,80.0,3274.0,21.3,0.565,0.369,0.42,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,9.2,2.3,11.5,0.169,4.7,-0.4,4.2,5.2,"MVP-12,AS,NBA3",2005,False
4.0,Joe Johnson,23.0,PHO,SF,82.0,82.0,3240.0,15.1,0.556,0.314,0.153,4.2,9.5,7.0,13.2,1.2,0.5,10.5,19.0,5.8,1.7,7.6,0.112,1.5,-0.6,0.9,2.4,,2005,False
5.0,Tracy McGrady,25.0,HOU,SF,78.0,78.0,3182.0,22.9,0.526,0.262,0.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,6.5,5.4,12.0,0.18,5.2,1.5,6.7,6.9,"MVP-7,AS,NBA3",2005,False
6.0,Allen Iverson,29.0,PHI,PG,75.0,75.0,3174.0,23.2,0.532,0.186,0.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,5.3,3.7,9.0,0.136,4.2,0.0,4.2,5.0,"MVP-5,DPOY-11,AS,NBA1",2005,False
7.0,Shawn Marion,26.0,PHO,PF,81.0,81.0,3146.0,21.7,0.556,0.265,0.213,8.4,22.0,15.5,7.5,2.6,2.5,8.1,21.3,7.3,5.2,12.5,0.191,3.1,1.3,4.4,5.1,"MVP-14,DPOY-5,AS,NBA3",2005,False
8.0,Kevin Garnett,28.0,MIN,PF,82.0,82.0,3121.0,28.2,0.567,0.018,0.404,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,10.1,6.0,16.1,0.248,6.5,3.0,9.5,9.1,"MVP-11,DPOY-9,AS,NBA2,DEF1",2005,False
9.0,Mike Bibby,26.0,SAC,PG,80.0,80.0,3084.0,19.2,0.543,0.288,0.327,2.8,9.2,6.0,28.1,2.1,0.7,12.3,23.8,6.6,1.9,8.5,0.133,3.1,-0.5,2.6,3.6,,2005,False
10.0,Ray Allen,29.0,SEA,SG,78.0,78.0,3064.0,20.9,0.555,0.372,0.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,9.7,1.0,10.7,0.168,5.3,-1.2,4.1,4.8,"MVP-9,AS,NBA2",2005,False
11.0,Tayshaun Prince,24.0,DET,SF,82.0,82.0,3039.0,16.2,0.556,0.143,0.285,5.2,11.5,8.4,14.5,1.0,1.8,11.1,18.8,5.4,4.0,9.4,0.149,1.4,0.7,2.1,3.1,"DPOY-7,DEF2",2005,False
12.0,Dirk Nowitzki,26.0,DAL,PF,78.0,78.0,3020.0,26.1,0.578,0.158,0.49,3.6,24.0,14.0,14.3,1.7,2.9,9.1,28.7,10.3,5.2,15.6,0.248,5.8,1.5,7.3,7.1,"MVP-3,AS,NBA1",2005,False
13.0,Chris Bosh,20.0,TOR,PF,81.0,81.0,3017.0,17.5,0.547,0.01,0.539,7.1,20.0,13.5,8.6,1.3,2.7,13.1,21.7,3.9,2.9,6.8,0.108,0.1,-0.3,-0.2,1.4,,2005,False
14.0,Elton Brand,25.0,LAC,PF,81.0,81.0,3001.0,22.4,0.554,0.002,0.387,12.2,18.4,15.4,13.3,1.1,4.3,11.1,25.4,6.9,3.7,10.6,0.169,3.4,0.2,3.6,4.2,,2005,False
15.0,Steve Francis,27.0,ORL,PG,78.0,78.0,2978.0,18.9,0.521,0.095,0.456,4.8,12.0,8.5,31.6,1.9,0.7,16.6,28.0,3.9,2.3,6.2,0.1,2.1,-0.9,1.2,2.4,,2005,False
16.0,Dwyane Wade,23.0,MIA,SG,77.0,77.0,2974.0,23.1,0.561,0.034,0.578,4.5,10.8,7.8,31.0,2.2,2.0,16.3,30.9,6.7,4.3,11.0,0.177,3.9,0.7,4.6,4.9,"MVP-8,DPOY-21,AS,NBA2,DEF2",2005,False
17.0,Paul Pierce,27.0,BOS,SF,82.0,82.0,2960.0,21.8,0.583,0.239,0.546,3.1,17.8,10.6,20.3,2.3,1.0,13.2,26.6,7.7,3.6,11.2,0.182,4.0,0.7,4.6,4.9,AS,2005,False
18.0,Antoine Walker,28.0,2TM,PF,77.0,77.0,2955.0,15.5,0.478,0.248,0.271,7.0,20.9,13.7,16.3,1.6,1.5,14.1,27.2,-1.4,2.3,0.9,0.015,0.8,-1.3,-0.4,1.2,,2005,False
18.0,Antoine Walker,28.0,ATL,PF,53.0,53.0,2128.0,15.5,0.474,0.265,0.29,6.6,21.4,13.6,16.8,1.6,1.2,13.8,27.9,-1.1,1.3,0.2,0.004,1.1,-1.4,-0.3,0.9,,2005,False
18.0,Antoine Walker,28.0,BOS,PF,24.0,24.0,827.0,15.4,0.49,0.201,0.217,8.1,19.6,14.0,15.0,1.6,2.4,14.9,25.5,-0.3,1.0,0.7,0.041,0.1,-0.8,-0.7,0.3,,2005,False
19.0,Richard Hamilton,26.0,DET,SG,76.0,76.0,2926.0,16.0,0.528,0.102,0.37,3.0,8.8,5.9,23.5,1.4,0.3,13.9,25.1,3.9,3.5,7.4,0.121,0.3,0.0,0.3,1.7,,2005,False
20.0,Chucky Atkins,30.0,LAL,PG,82.0,82.0,2903.0,13.4,0.558,0.5,0.223,1.2,6.4,3.8,20.6,1.3,0.1,13.1,17.9,4.7,-0.2,4.5,0.074,0.6,-1.7,-1.1,0.6,,2005,False
21.0,Desmond Mason,27.0,MIL,SF,80.0,71.0,2893.0,14.8,0.526,0.007,0.486,3.4,9.3,6.3,12.8,1.1,0.7,11.1,23.2,3.6,0.7,4.3,0.071,-0.1,-1.5,-1.6,0.3,,2005,False
22.0,Amar'e Stoudemire,22.0,PHO,C,80.0,80.0,2889.0,26.6,0.617,0.012,0.595,8.5,17.4,13.2,7.7,1.3,3.0,10.1,28.3,11.3,3.3,14.6,0.243,4.1,0.3,4.4,4.7,"MVP-9,AS,NBA2",2005,False
23.0,Chauncey Billups,28.0,DET,PG,80.0,80.0,2866.0,19.0,0.609,0.424,0.418,2.0,9.0,5.5,28.2,1.6,0.2,14.3,20.7,8.6,3.5,12.1,0.202,3.6,0.6,4.2,4.5,DEF2,2005,False
24.0,Kurt Thomas,32.0,NYK,PF,80.0,80.0,2855.0,14.1,0.488,0.004,0.093,6.9,27.4,17.1,9.3,1.3,2.1,9.5,16.6,1.8,3.3,5.2,0.087,-0.9,0.2,-0.8,0.9,,2005,False
25.0,Andre Miller,28.0,DEN,PG,82.0,82.0,2852.0,16.5,0.541,0.044,0.337,4.1,9.6,6.8,32.2,2.2,0.2,17.6,19.5,4.1,2.9,7.0,0.119,0.8,0.1,0.8,2.0,,2005,False
26.0,Michael Redd,25.0,MIL,SG,75.0,75.0,2848.0,18.3,0.536,0.207,0.305,2.9,10.0,6.4,11.4,1.2,0.2,7.6,27.8,5.5,0.7,6.2,0.105,2.8,-1.8,1.0,2.2,,2005,False
27.0,Eddie Jones,33.0,MIA,SF,80.0,80.0,2839.0,13.6,0.556,0.466,0.263,1.6,14.5,8.3,11.5,1.6,1.0,9.8,16.6,4.2,3.8,8.0,0.135,0.1,1.1,1.2,2.3,,2005,False
28.0,Quentin Richardson,24.0,PHO,SG,79.0,78.0,2839.0,13.6,0.522,0.604,0.176,3.6,13.9,9.0,7.9,1.7,0.6,8.3,18.9,3.3,2.5,5.8,0.098,0.7,-0.2,0.5,1.8,,2005,False
29.0,Vince Carter,28.0,2TM,SF,77.0,76.0,2828.0,22.9,0.541,0.203,0.299,4.4,12.6,8.4,25.7,2.1,1.3,8.8,31.6,5.9,3.5,9.4,0.159,5.2,0.8,6.0,5.7,"MVP-13,AS",2005,False
29.0,Vince Carter,28.0,TOR,SG,20.0,20.0,608.0,17.0,0.475,0.195,0.238,5.1,7.2,6.1,18.5,2.1,1.8,6.2,26.7,0.5,0.4,0.9,0.068,1.9,0.4,2.3,0.7,,2005,False
