Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Playoffs
1.0,Michael Finley,27.0,DAL,SF,82.0,82.0,3443.0,18.2,0.521,0.169,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,5.6,2.9,8.5,0.119,2.4,-0.5,1.9,3.4,"MVP-15,AS",2001,False
2.0,Antoine Walker,24.0,BOS,PF,81.0,81.0,3396.0,18.9,0.505,0.351,0.202,5.0,20.4,12.3,26.8,2.1,1.1,13.8,29.1,2.7,3.8,6.6,0.093,3.5,-0.5,3.0,4.3,,2001,False
3.0,Antawn Jamison,24.0,GSW,SF,82.0,82.0,3394.0,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.8,-2.0,0.8,2.3,,2001,False
4.0,Anthony Mason,34.0,MIA,PF,80.0,80.0,3254.0,17.4,0.555,0.0,0.497,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,6.0,5.6,11.6,0.171,0.8,1.1,1.9,3.2,"MVP-15,DPOY-8,AS",2001,False
5.0,Gary Payton,32.0,SEA,PG,79.0,79.0,3244.0,22.1,0.522,0.171,0.223,2.6,10.1,6.4,36.6,2.1,0.6,10.7,27.2,9.1,1.7,10.8,0.16,4.7,-0.7,4.0,4.9,"AS,NBA3,DEF1",2001,False
6.0,Shareef Abdur-Rahim,24.0,VAN,SF,81.0,81.0,3241.0,19.1,0.549,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,,2001,False
7.0,Jerry Stackhouse,26.0,DET,SG,80.0,80.0,3215.0,21.8,0.521,0.245,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.137,5.8,-0.7,5.1,5.8,"MVP-14,AS",2001,False
8.0,Kevin Garnett,24.0,MIN,PF,81.0,81.0,3202.0,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,11.8,0.176,4.5,1.4,6.0,6.4,"MVP-5,DPOY-2,AS,NBA2,DEF1",2001,False
9.0,Steve Francis,23.0,HOU,PG,80.0,79.0,3194.0,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,9.2,3.0,12.2,0.184,4.5,0.5,5.0,5.7,,2001,False
10.0,Baron Davis,21.0,CHH,PG,82.0,82.0,3192.0,16.6,0.512,0.286,0.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,4.2,4.7,8.9,0.134,1.0,1.4,2.4,3.6,,2001,False
11.0,Mike Bibby,22.0,VAN,PG,82.0,82.0,3190.0,16.8,0.525,0.246,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,2.2,,2001,False
12.0,Reggie Miller,35.0,IND,SG,81.0,81.0,3181.0,17.3,0.574,0.395,0.296,1.4,8.5,5.1,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,2.8,-0.6,2.3,3.4,,2001,False
13.0,Tim Duncan,24.0,SAS,PF,82.0,82.0,3174.0,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,0.2,2.9,1.8,4.7,5.4,"MVP-2,DPOY-3,AS,NBA1,DEF1",2001,False
14.0,Ray Allen,25.0,MIL,SG,82.0,82.0,3129.0,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9,"MVP-11,AS,NBA3",2001,False
